Time,Load
(sec),(N)
115.89999,51.35547
116,51.17294
116.1,50.99267
116.2,50.8224
116.29999,50.67227
116.39999,50.4688
116.5,50.3287
116.6,50.18358
116.7,50.0381
116.79999,49.82812
116.89999,49.66782
117,49.53256
117.1,49.33078
117.2,49.19323
117.29999,49.00893
117.39999,48.91412
117.5,48.71119
117.6,48.56212
117.7,48.42659
117.79999,48.21092
117.89999,48.08444
118,47.92664
118.1,47.81887
118.2,47.6184
118.29999,47.45793
118.3538,47.39311
118.39999,47.31921
118.5,47.15913
118.6,46.96678
118.7,46.83549
118.79999,46.71402
118.89999,46.5528
119,46.37378
119.1,46.22706
119.2,46.10476
119.29999,45.93234
119.39999,45.78073
119.5,45.67891
119.6,45.53664
119.7,45.35771
119.79999,45.21014
119.89999,45.09474
120,44.93162
120.1,44.77856
120.2,44.64517
120.29999,44.51192
120.39999,44.35208
120.5,44.21372
120.6,44.07965
120.7,43.94092
120.79999,43.78025
120.89999,43.64479
121,43.53614
121.1,43.41191
121.2,43.2503
121.29999,43.09845
121.39999,42.99409
121.5,42.81693
121.6,42.70911
121.7,42.56403
121.79999,42.4394
121.8498,42.37254
121.89999,42.29916
122,42.1163
122.1,42.04306
122.2,41.84612
122.29999,41.74238
122.39999,41.61549
122.5,41.51148
122.6,41.36744
122.7,41.22004
122.79999,41.1039
122.89999,40.94928
123,40.83315
123.1,40.70447
123.2,40.62326
123.29999,40.47492
123.39999,40.31091
123.5,40.21648
123.6,40.04094
123.7,39.91698
123.79999,39.80061
123.89999,39.69683
124,39.59032
124.1,39.42959
124.2,39.31937
124.29999,39.21027
124.39999,39.06048
124.5,38.95156
124.6,38.86094
124.7,38.74817
124.79999,38.58191
124.89999,38.46662
125,38.36529
125.1,38.20647
125.2,38.10728
125.29999,37.98916
125.39999,37.8982
125.5,37.73084
125.6,37.63003
125.7,37.51394
125.79999,37.39206
125.8518,37.32436
125.89999,37.28013
126,37.14346
126.1,37.07831
126.2,36.93702
126.29999,36.83656
126.39999,36.69496
126.5,36.61309
126.6,36.46872
126.7,36.3555
126.79999,36.27126
126.89999,36.16085
127,36.04074
127.1,35.9064
127.2,35.84036
127.29999,35.64877
127.39999,35.54671
127.5,35.45697
127.6,35.36996
127.7,35.23911
127.79999,35.09276
127.89999,35.04466
128,34.88512
128.09999,34.7721
128.2,34.67697
128.3,34.60981
128.39999,34.4978
128.5,34.36267
128.59999,34.28148
128.7,34.14591
128.8,34.03
128.89999,33.95723
129,33.87576
129.09999,33.75991
129.2,33.63826
129.3,33.53243
129.39999,33.44372
129.5,33.31113
129.59999,33.22529
129.7,33.10159
129.8,33.04495
